연번,비상소화장치일련번호,안전센터ID,일련번호,X좌표,Y좌표,비상소화장치고유번호,사용구분,삭제여부,업데이트날짜,geometry,lon,lat
2126,110080938,1103105,1897,200515.3159,553192.9054,종로-연건-4-29(?,52201,N,20241002172303,POINT (127.00583378395947 37.57828579298901),127.00583378395947,37.57828579298901
2127,110080943,1104508,1904,201415.5305,550790.2983,중부-현장-000148,52201,N,20240929171012,POINT (127.01602028885793 37.556637461063566),127.01602028885793,37.556637461063566
2128,110080464,1103105,1943,199620.3226,554214.1476,종로-연건-4-15(?,52201,N,20241016170740,POINT (126.99570122219481 37.58748718416051),126.99570122219481,37.58748718416051
2129,110080974,1104508,2021,201008.6068,551650.1824,중부-현장-000209,52201,N,20241006170340,POINT (127.01141610557323 37.56438552479556),127.01141610557323,37.56438552479556
2130,110080963,1103109,2057,201064.9699,552457.6571,종로-숭인-6-13(?,52201,N,20240910170747,POINT (127.01205523435334 37.57166077372099),127.01205523435334,37.57166077372099
2131,110081862,1110103,1960,203462.7468,559856.3922,도봉-창동-37(비),52201,N,20241006170340,POINT (127.03923255333095 37.63831673439724),127.03923255333095,37.63831673439724
2132,110082610,1102102,2110,196169.8588,545827.1266,동작-노량-000229,52201,N,20240913171717,POINT (126.9566781961599 37.51191238266169),126.9566781961599,37.51191238266169
2133,110081785,1113104,2168,191337.985,550356.559,마포-서교-000087,52201,N,20240911171506,POINT (126.9019726910536 37.55268987493533),126.9019726910536,37.55268987493533
2134,110081223,1106104,2327,197785.1308,550234.9809,용산-후암-000071,52201,N,20241008170835,POINT (126.97493485918854 37.551632489698555),126.97493485918854,37.551632489698555
2135,110082302,1102508,2239,194180.4563,545197.4318,동작-현장-000265,52201,N,20240910170747,POINT (126.93418153707721 37.506228410419055),126.93418153707721,37.506228410419055
2136,110084628,1109103,3570,199871.4846,557706.1877,성북-길음-216(비,52201,N,20240912172010,POINT (126.99854431190705 37.61895019726638),126.99854431190705,37.61895019726638
2137,110083942,1112508,3573,193676.5972,557655.2039,은평-현장-86(비),52201,N,20241002172303,POINT (126.92837557027453 37.61846911165324),126.92837557027453,37.61846911165324
2138,110080387,1117104,2277,186237.6614,549882.9944,강서-발산-16(비),52201,N,20240907171138,POINT (126.84426178711308 37.54836105390129),126.84426178711308,37.54836105390129
2139,110082859,1102103,2444,194284.2065,543712.6385,동작-상도-000337,52201,N,20240923174024,POINT (126.93536647281911 37.4928509873013),126.93536647281911,37.4928509873013
2140,110082200,1102104,2347,197302.7995,543672.6769,동작-백운-000139,52201,N,20240916171145,POINT (126.96950051039325 37.49250467366684),126.96950051039325,37.49250467366684
2141,110080641,1123105,1148,196334.4421,550973.1799,서대문-북아-87(?,52201,N,20241005170403,POINT (126.95851408112723 37.55827901782374),126.95851408112723,37.55827901782374
2142,110081752,1113105,1549,195917.3842,550789.5963,마포-공덕-000029,52201,N,20240910170747,POINT (126.95379494096883 37.55662318214392),126.95379494096883,37.55662318214392
2143,110083952,1112106,4267,192874.7343,556217.8751,은평-역촌-88(비),52201,N,20240915171258,POINT (126.91930696623518 37.605513087911845),126.91930696623518,37.605513087911845
2144,110083914,1103106,4132,197091.6945,555174.2282,종로-신영-5-44(?,52201,N,20240928171131,POINT (126.96706781778649 37.59613291827018),126.96706781778649,37.59613291827018
2145,110083950,1106104,4184,198487.6419,549652.3906,용산-후암-000138,52201,N,20241009170743,POINT (126.98288620771852 37.546384779312966),126.98288620771852,37.546384779312966
2146,110081376,1108508,112,190929.5881,545679.1594,영등포-현장-0000,52201,N,20240920172927,POINT (126.89740864408128 37.5105425844251),126.89740864408128,37.5105425844251
2147,110087029,1107105,0,205976.5016,555442.035,동대문-휘경-101(,52201,N,20240927170947,POINT (127.06767705367673 37.59853102512909),127.06767705367673,37.59853102512909
2148,110087031,1107104,0,202283.3712,553044.4462,동대문-용두-104(,52201,N,20240919171236,POINT (127.02584910616488 37.57694549820457),127.02584910616488,37.57694549820457
2149,110087036,1115102,0,199171.6198,540682.6403,서초-방배-000101,52201,N,20240903172933,POINT (126.99063617769701 37.46556773081682),126.99063617769701,37.46556773081682
2150,110087032,1107104,0,202757.7822,552547.5852,동대문-용두-105(,52201,N,20240919171236,POINT (127.03121784847094 37.57246750943736),127.03121784847094,37.57246750943736
2151,110087047,1115103,0,204144.261,541202.7234,서초-양재-000100,52201,N,20241009170743,POINT (127.04684870570124 37.470244820923945),127.04684870570124,37.470244820923945
2152,110087057,1111106,0,206726.6073,558411.8274,노원-공릉-3-12(?,52201,N,20240914171115,POINT (127.07619843307943 37.62528332820719),127.07619843307943,37.62528332820719
2153,110086634,1110103,0,203250.1026,560038.9742,도봉-창동-005(비,52202,N,20240829173104,POINT (127.03682412952666 37.639962546726316),127.03682412952666,37.639962546726316
