,X좌표,Y좌표,비상소화장치고유번호
398,195890.2596,544185.5833,동작-백운-000323
399,194135.5025,544130.6205,동작-상도-000317
400,194033.0734,544917.972,동작-상도-000316
401,195665.1004,544788.866,동작-백운-000315
402,192277.7316,543206.0307,동작-현장-000326
403,195893.7856,544880.184,동작-백운-000328
404,192184.925,543435.7551,동작-현장-000329
405,196209.7483,545340.4521,동작-노량-000333
406,196842.752,544866.5714,동작-노량-000335
407,194529.2581,544193.4814,동작-상도-000331
408,205486.1568,556545.0144,성북-장위-44(비)
409,203159.2233,555594.2406,성북-현장-45(비)
410,200238.4265,556681.2379,성북-길음-47(비)
411,204100.658,556918.8954,성북-장위-48(비)
412,204245.6013,557391.08,성북-장위-62(비)
413,200671.5404,555544.5292,성북-길음-63(비)
414,202923.336,554919.2893,성북-현장-64(비)
415,204031.0765,557048.8152,성북-장위-66(비)
416,205372.7793,556614.1468,성북-장위-68(비)
417,194265.5054,555452.3104,은평-녹번-17(비)
418,193896.1132,554155.8596,서대문-홍은-66(?
419,193999.8709,554876.351,서대문-홍은-54(?
420,195631.674,555471.0404,서대문-홍은-55(?
421,192550.8345,553705.6349,서대문-북가-36(?
422,193430.6604,558398.4558,은평-현장-25(비)
423,193152.9482,557934.6122,은평-현장-26(비)
424,193069.7362,558304.1947,은평-현장-27(비)
425,195240.2519,559856.3402,은평-현장-28(비)
426,193729.201,557055.9799,은평-현장-32(비)
427,193944.0659,556115.0113,은평-녹번-40(비)
428,193850.6867,557174.4218,은평-현장-41(비)
429,196014.9489,555221.6617,서대문-홍은-53(?
430,194106.91,551665.603,서대문-현장-15(?
431,197804.3631,550396.9092,용산-후암-000112
432,200076.9992,547836.5352,용산-이태-000113
433,199791.15,546966.9601,용산-서빙-000115
434,199753.6985,547069.8681,용산-서빙-000117
435,197761.727,550340.1351,용산-후암-000119
436,197770.19,550143.5871,용산-후암-000120
437,197549.1916,549977.9984,용산-현장-000118
438,199895.7675,547043.0373,용산-서빙-000122
439,197158.9999,547924.4496,용산-현장-000124
440,195860.0014,548279.3886,용산-이촌-000125
441,200137.2434,548061.7173,용산-이태-000126
442,197768.6079,548111.1566,용산-현장-000127
443,200194.1522,547832.0067,용산-이태-000128
444,196824.8289,549883.0377,용산-현장-000129
445,199403.1916,546870.5388,용산-서빙-000131
446,196694.1942,548721.9885,용산-이촌-000132
447,196014.1449,548382.4327,용산-이촌-000001
448,196885.6921,550289.7138,용산-현장-000002
449,200528.5598,553104.6921,종로-연건-4-08(?
450,200151.6242,551055.6187,중부-신당-000039
451,201680.8005,551941.9268,중부-현장-000045
452,199755.8318,551547.1383,중부-을지-000048
453,200483.4019,551772.0644,중부-을지-000042
454,200318.8085,551789.7654,중부-을지-000051
455,199946.7732,552091.152,중부-을지-000049
456,198109.2347,541583.2111,관악-현장-000100
457,197272.1304,542022.5901,동작-백운-000250
458,192290.26,545596.0515,영등포-신길-0000
459,194857.9074,541708.8045,관악-현장-000097
460,192305.6879,545418.3745,영등포-신길-0000
461,211675.3138,549031.3232,강동-천호-000110
462,204539.8907,557196.5736,성북-장위-106(비
463,210310.3746,540743.1452,강남-세곡-000082
464,203925.6409,542790.6152,강남-역삼-000022
465,200062.4011,552339.2693,종로-연건-4-25(?
466,206319.9535,540325.8686,서초-양재-000089
467,190827.874,545576.9184,영등포-현장-0000
468,191436.7949,545191.9122,영등포-현장-0000
469,199056.4643,554966.6028,성북-돈암-95(비)
470,209021.2898,554385.2969,중랑-망우-3-6(비
471,200156.8074,555047.3764,성북-돈암-202(비
472,200233.8166,554879.6085,성북-돈암-9(비)
473,207760.792,549292.782,광진-현장-000047
474,203639.8863,563371.2563,도봉-도봉-13(비)
475,203208.7756,562920.5762,도봉-도봉-115(비
476,186164.6246,549626.2359,강서-발산-36(비)
477,199320.0852,554526.3024,종로-연건-4-04(?
478,208530.9164,554076.1616,중랑-망우-3-23(?
479,198601.9036,551046.5318,중부-충무-000262
480,198374.8154,550633.5575,중부-회현-000263
481,196242.2835,548382.6531,용산-이촌-000007
482,196931.4416,550167.8707,용산-현장-000008
483,199637.4756,546931.8244,용산-서빙-000010
484,200421.8595,547796.5149,용산-이태-000015
485,210585.1513,549112.5808,강동-천호-000072
486,211136.6993,548464.7315,강동-현장-000013
487,212238.7639,549832.872,강동-천호-000005
488,211503.1942,548284.0842,강동-현장-000029
489,212757.6288,550033.9589,강동-고덕-000021
490,215068.294,549745.8267,강동-길동-000038
491,211772.6963,549059.6386,강동-천호-000040
492,211448.515,549179.8195,강동-천호-000042
493,212811.9269,549899.3179,강동-고덕-000047
494,212734.2107,548821.9137,강동-길동-000033
495,211940.856,547469.5292,강동-현장-000050
496,214881.9344,553054.8298,강동-강일-000056
497,211835.0647,547720.8713,강동-현장-000060
498,211945.7945,548919.2151,강동-천호-000065
499,211892.5436,551638.1543,강동-암사-000067
500,212518.8367,547876.9216,강동-현장-000068
501,210689.3145,549103.078,강동-천호-000075
502,211635.757,548442.9742,강동-현장-000077
503,211567.0608,548877.3827,강동-천호-000053
504,214018.9978,552233.3992,강동-고덕-000095
505,211520.5632,548920.5233,강동-천호-000096
506,214054.9736,550852.2336,강동-고덕-000107
507,211284.2496,548243.014,강동-현장-000106
508,195397.375,550266.3823,마포-염리-000002
509,196132.413,550007.9446,마포-공덕-000003
510,196596.1165,541742.423,관악-현장-000068
511,194360.394,540473.7421,관악-현장-000079
512,196007.5391,541716.0043,관악-현장-000085
513,194149.1456,540901.6112,관악-현장-000088
514,192610.7836,540489.9071,관악-난곡-000091
515,194083.0558,543524.3727,관악-봉천-000067
516,194707.1444,542347.9299,관악-현장-000069
517,195024.4304,543305.8684,관악-봉천-000073
518,195107.4962,542860.8372,관악-봉천-000075
519,194556.9512,543157.0536,관악-봉천-000074
520,193177.2356,541408.6949,관악-난곡-000076
521,193801.323,540936.2299,관악-현장-000081
522,194770.8289,543467.2721,관악-봉천-000094
523,192736.7765,540428.0765,관악-난곡-000083
524,193542.9914,542046.9929,관악-신림-000084
525,195433.4504,542842.3395,관악-봉천-000071
526,195950.5762,542717.5494,관악-봉천-000016
527,197097.4415,542919.0088,동작-백운-000219
528,194630.2577,542856.2147,관악-봉천-000095
529,197352.6753,542305.4552,동작-백운-000039
530,194478.262,541456.9806,관악-현장-000096
531,204195.5405,558000.8533,성북-장위-119(비
532,201095.6182,556428.9239,성북-길음-120(비
533,200800.9594,553816.21,성북-돈암-123(비
534,194756.074,543499.821,관악-봉천-000105
535,196937.4938,541296.8675,관악-현장-000108
536,195044.0586,543328.7648,관악-봉천-000104
537,197311.8168,541807.4763,관악-봉천-000106
538,193163.2426,543964.8239,동작-현장-000211
539,193519.3052,544075.0637,동작-현장-000212
540,194779.6671,544213.8205,동작-상도-000224
541,197968.2898,541709.9366,관악-현장-000122
542,193992.618,544476.8418,동작-상도-000226
543,195291.2762,544068.2161,동작-상도-000227
544,197635.0759,542157.2845,동작-백운-000215
545,197469.21,542145.3562,동작-백운-000231
546,197970.0363,543044.6661,동작-백운-000228
547,195348.5802,544705.6605,동작-백운-000247
548,195149.8154,542417.0733,관악-현장-000134
549,197200.1208,541350.2721,관악-현장-000133
550,192999.0259,542084.8648,관악-난곡-000136
551,191392.2778,554683.2091,은평-수색-44(비)
552,194808.945,550926.4273,서대문-현장-14(?
553,192460.8485,553357.3884,서대문-북가-37(?
554,200843.2956,553351.5562,종로-숭인-6-45(?
555,201016.2183,553086.1316,종로-숭인-6-51(?
556,201102.2659,553074.2322,종로-숭인-6-52(?
557,201046.3191,552696.2646,종로-숭인-6-60(?
558,200931.6577,552929.2805,종로-숭인-6-57(?
559,200355.2425,550239.3244,중부-신당-13(비)
